Sales Person,Country,Product,Date,Amount ($),Boxes Shipped
Afonso Martins,India,Avène PhysioLift Night Smoothing Balm 30g,2024-06-08,14945.64,154
Afonso Martins,Poland,Pixi Overnight Glow Serum 60ml,2021-02-15,14105.1,149
Francisco Mendes,United Kingdom,Estée Lauder Revitalizing Supreme+ Moisturizer 30ml,2020-05-26,17457.97,241
João Cardoso,Netherlands,Estée Lauder Advanced Night Repair Serum 150ml,2021-01-28,6791.66,133
Tiago Cardoso,Brazil,Paula's Choice CLINICAL 1% Retinol Treatment 200ml,2023-02-19,8055.15,83
Martim Pinto,Indonesia,Olay Vitamin C + Peptide 24 Face Moisturizer 100ml,2023-04-02,2383.67,28
Tomás Ribeiro,Sweden,Murad Brightening Booster 250ml,2023-04-26,16937.0,253
Afonso Jesus,Argentina,Neutrogena Ultra Sheer Dry-Touch Sunscreen SPF 50+ 250ml,2021-10-08,8993.24,134
Gonçalo Rodrigues,Singapore,Skinceuticals B5 Gel Hydrating Serum 15ml,2021-08-07,7965.74,91
Maria Moreira,Singapore,Kiehl's Ultra Facial Cream 56.7g,2023-02-21,8309.15,107
Maria Ferreira,India,First Aid Beauty FAB Skin Lab Resurfacing Liquid 10% AHA 125ml,2020-04-11,26066.85,391
Mariana Neves,Colombia,CeraVe Renewing SA Cream 100ml,2023-05-15,7785.99,68
Tiago Almeida,France,Olay Regenerist Micro-Sculpting Cream 30g,2021-02-23,30138.02,268
Maria Correia,Germany,Estée Lauder Perfectly Clean Multi-Action Foam Cleanser 150ml,2022-07-17,2379.04,131
Rafael Neves,Chile,Drunk Elephant C-Firma Fresh Day Serum 56.7g,2022-07-22,4308.96,113
Ana Ferreira,Spain,Paula's Choice SKIN PERFECTING 2% BHA Liquid Exfoliant 340g,2021-10-27,4055.35,47
Sara Almeida,Brazil,REN Clean Skincare Evercalm Global Protection Day Cream 60ml,2021-07-18,28921.1,263
Francisco Coelho,Indonesia,La Roche-Posay Toleriane Double Repair Moisturiser 200ml,2020-11-21,11455.46,114
Matilde Moreira,Poland,Neutrogena Cellular Boost Concentrate Serum 100ml,2023-05-24,130.47,30
João Mendes,United States,Pixi Glow Tonic 56.7g,2020-12-01,10397.29,133
Martim Rodrigues,India,The Ordinary Glycolic Acid 7% Toning Solution 125ml,2023-02-11,7454.13,115
Inês Cruz,Sweden,Drunk Elephant C-Firma Fresh Day Serum 340g,2020-07-02,3038.7,124
Margarida Mendes,Italy,Estée Lauder Re-Nutriv Ultimate Lift Age-Correcting Crème 75ml,2024-02-05,3079.03,141
Joana Teixeira,Colombia,Paula's Choice SKIN RECOVERY Replenishing Moisturizer 56.7g,2020-12-06,2810.01,49
João Costa,Mexico,Drunk Elephant Protini Polypeptide Cream 40ml,2021-03-01,2246.87,130
Rodrigo Pinto,Singapore,Estée Lauder DayWear Multi-Protection Anti-Oxidant 24H Moisturizer SPF15 30ml,2024-06-03,6508.66,149
Mariana Soares,China,Estée Lauder Micro Essence Skin Activating Treatment Lotion 15ml,2024-09-22,240.75,11
Ana Vieira,South Korea,Paula's Choice SKIN RECOVERY Replenishing Moisturizer 40ml,2022-12-02,1143.02,97
Martim Marques,France,Pixi Hydrating Milky Serum 20ml,2020-07-13,26778.67,245
Joana Santos,United States,Bioderma Cicabio Arnica+ Repairing Cream 200ml,2023-05-21,9952.67,94
Laura Carvalho,France,Pixi Hydrating Milky Serum 75ml,2022-11-26,4632.01,71
Carolina Ferreira,Philippines,Paula's Choice BOOST 10% Niacinamide Booster 250ml,2023-11-04,1834.06,84
Rodrigo Jesus,Indonesia,Clinique All About Eyes Rich 125ml,2023-04-25,15296.45,131
Joana Santos,Spain,Neutrogena Norwegian Formula Face Cream 250ml,2024-05-23,19320.58,343
Dinis Pereira,Poland,Skinceuticals B5 Gel Hydrating Serum 75ml,2024-01-25,605.66,12
Martim Rodrigues,Germany,Clinique Take The Day Off Cleansing Balm 40ml,2021-07-27,1353.07,29
Laura Costa,Canada,The Ordinary Glycolic Acid 7% Toning Solution 30g,2021-09-22,5110.99,49
Mariana Mendes,China,REN Clean Skincare Clean Screen Mineral SPF30 125ml,2024-03-15,10540.01,111
Sara Mendes,Singapore,CeraVe PM Facial Moisturising Lotion 75ml,2021-11-04,32287.44,356
Clara Ferreira,France,Paula's Choice EARTH SOURCED Antioxidant-Enriched Natural Moisturizer 100ml,2021-11-25,917.61,19
João Nunes,Canada,Neutrogena Hydro Boost Water Gel 75ml,2022-07-06,1713.29,124
Carolina Silva,Indonesia,Drunk Elephant A-Passioni Retinol Cream 56.7g,2024-05-20,9497.74,94
Martim Marques,Philippines,Skinceuticals Physical Fusion UV Defense SPF 50 125ml,2022-03-19,5783.66,53
Dinis Monteiro,Thailand,Tatcha The Indigo Overnight Repair Treatment 100ml,2023-03-26,45242.76,430
Ana Monteiro,United States,Pixi +C VIT Brightening Serum 200ml,2024-07-24,3946.14,149
Carolina Marques,Colombia,Neutrogena Hydro Boost Water Gel 20ml,2020-04-30,4150.46,38
Joana Santos,South Korea,Drunk Elephant Virgin Marula Luxury Face Oil 30g,2021-04-11,7523.24,83
Sofia Gomes,United Kingdom,Avène PhysioLift Night Smoothing Balm 200ml,2022-05-19,3973.88,89
Joana Oliveira,Chile,Clinique All About Eyes Rich 200ml,2022-06-08,1776.45,45
Inês Monteiro,Argentina,Skinceuticals Discoloration Defense Serum 340g,2021-08-20,15113.51,129
Mariana Martins,Sweden,First Aid Beauty Ultra Repair Firming Collagen Cream 50ml,2020-07-11,31724.31,327
Sofia Nunes,Philippines,REN Clean Skincare Clean Screen Mineral SPF30 340g,2020-10-05,33775.24,335
Joana Oliveira,South Korea,Murad Rapid Resurgence Eye Lift 100ml,2024-04-18,4333.08,99
Rafael Pereira,United Kingdom,CeraVe Healing Ointment 340g,2022-09-20,5817.3,107
Margarida Pereira,Indonesia,Pixi Retinol Tonic 30g,2023-01-16,10301.68,155
Sara Almeida,Thailand,Sunday Riley C.E.O. 15% Vitamin C Brightening Serum 250ml,2022-06-10,12944.57,131
Inês Nunes,France,Estée Lauder Re-Nutriv Ultimate Lift Age-Correcting Crème 60ml,2022-05-23,1541.74,20
Afonso Sousa,United States,Bioderma Nodé Detox Shampoo 75ml,2021-07-05,2387.49,26
Tomás Correia,Sweden,Drunk Elephant T.L.C. Framboos Glycolic Night Serum 125ml,2024-07-23,4608.43,273
Pedro Ferreira,Brazil,REN Clean Skincare Vita Mineral Active 7 Eye Gel 15ml,2022-08-04,1648.55,23
Inês Cardoso,Brazil,Pixi Glow Tonic 125ml,2020-06-14,10528.09,127
Inês Ferreira,Italy,Avène Hydrance Rich Rehydrating Cream 340g,2022-11-19,10446.3,146
Carolina Silva,France,REN Clean Skincare Overnight Glow Dark Spot Sleeping Cream 200ml,2023-06-04,7205.94,93
Sara Fernandes,Netherlands,Sunday Riley UFO Ultra-Clarifying Face Oil 75ml,2022-10-08,1663.64,45
Maria Moreira,Canada,The Ordinary Natural Moisturising Factors + HA 50ml,2022-09-07,1606.55,94
Carolina Jesus,Argentina,REN Clean Skincare Radiance Perfection Serum 340g,2023-07-22,7273.02,85
Dinis Ferreira,Mexico,Skinceuticals Physical Fusion UV Defense SPF 50 50ml,2024-06-16,1200.46,110
Laura Carvalho,Singapore,Tatcha The Silk Cream 100ml,2020-04-20,9822.92,223
Rodrigo Pereira,China,Estée Lauder Nutritious Super-Pomegranate Radiant Energy Eye Jelly 340g,2023-12-29,93.81,10
Miguel Martins,Germany,REN Clean Skincare V-Cense Revitalising Eye Cream 100ml,2024-12-31,12683.39,135
Afonso Monteiro,Spain,REN Clean Skincare V-Cense Revitalising Eye Cream 50ml,2021-07-02,2116.75,36
Inês Ribeiro,Japan,Skinceuticals Physical Fusion UV Defense SPF 50 100ml,2023-02-25,5675.03,199
Sara Cruz,United States,REN Clean Skincare Clean Screen Mineral SPF30 100ml,2020-12-16,5525.04,67
Leonor Rodrigues,Thailand,First Aid Beauty Pure Skin Face Cleanser 75ml,2023-02-04,5777.67,62
Diogo Costa,Netherlands,COSRX AHA/BHA Clarifying Treatment Toner 340g,2024-04-30,2345.72,65
Leonor Coelho,Netherlands,Skinceuticals Phyto Corrective Gel 30ml,2024-05-25,4475.12,63
João Mendes,Netherlands,Bioderma Nodé Detox Shampoo 150ml,2024-10-01,14063.58,127
Rodrigo Jesus,Netherlands,Kiehl's Super Multi-Corrective Anti-Aging Face & Neck Cream 56.7g,2020-07-21,8726.85,116
João Mendes,Japan,Avène Retrinal+ 0.1 Intensive Cream 56.7g,2022-08-23,804.98,13
Francisco Coelho,Singapore,COSRX AHA/BHA Clarifying Treatment Toner 20ml,2022-12-20,5783.81,62
Diogo Martins,Sweden,Neutrogena Ultra Sheer Dry-Touch Sunscreen SPF 50+ 150ml,2022-04-10,5488.95,99
Beatriz Ferreira,Mexico,Paula's Choice EARTH SOURCED Antioxidant-Enriched Natural Moisturizer 250ml,2024-02-25,11188.96,148
Martim Pinto,Argentina,Skinceuticals Discoloration Defense Serum 100ml,2021-02-10,9592.6,121
Clara Ferreira,Canada,Clinique Dramatically Different Moisturising Lotion+ 15ml,2022-07-25,19645.78,191
Ana Monteiro,Indonesia,La Roche-Posay Lipikar Balm AP+ 30g,2023-10-09,13857.24,264
Inês Martins,Canada,Skinceuticals B5 Gel Hydrating Serum 150ml,2023-02-26,3617.6,198
João Neves,Philippines,CeraVe AM Facial Moisturising Lotion SPF25 60ml,2021-04-24,2917.23,27
Rodrigo Jesus,Argentina,Clinique Smart Night Custom-Repair Moisturiser 60ml,2022-11-13,13003.83,144
Afonso Monteiro,Poland,Avène XeraCalm A.D Lipid-Replenishing Cream 340g,2021-12-01,24483.1,274
Carolina Pereira,United States,Neutrogena Norwegian Formula Face Cream 30ml,2020-08-22,7338.74,119
Margarida Teixeira,Canada,Skinceuticals Metacell Renewal B3 100ml,2023-10-22,10412.08,272
Inês Cardoso,Netherlands,REN Clean Skincare V-Cense Revitalising Eye Cream 75ml,2022-04-25,8566.91,117
Laura Pereira,India,Estée Lauder Nutritious Super-Pomegranate Radiant Energy Eye Jelly 75ml,2023-04-20,13478.04,149
Tiago Jesus,Chile,Olay Retinol24 Night Moisturizer 100ml,2024-02-23,290.45,20
Rafael Pereira,Mexico,CeraVe Renewing SA Cream 56.7g,2024-11-15,2478.5,41
Leonor Coelho,United Kingdom,Sunday Riley UFO Ultra-Clarifying Face Oil 250ml,2024-09-12,2811.98,108
Leonor Rodrigues,Netherlands,Olay Regenerist Collagen Peptide24 Serum 50ml,2023-06-02,7467.82,274
Tomás Rodrigues,Japan,Neutrogena Bright Boost Gel Cream 50ml,2024-11-01,6131.94,124
Clara Ferreira,Canada,Sunday Riley Auto Correct Brightening and Depuffing Eye Contour Cream 40ml,2022-10-21,14541.76,147
Carolina Ferreira,Germany,La Roche-Posay Cicaplast Baume B5 125ml,2024-09-01,2762.44,102
Clara Monteiro,France,Kiehl's Ultra Facial Cream 150ml,2021-05-13,12817.36,339
Maria Moreira,United States,Estée Lauder Revitalizing Supreme+ Moisturizer 340g,2024-12-31,4754.16,144
João Martins,Colombia,Drunk Elephant A-Passioni Retinol Cream 56.7g,2023-10-14,2668.04,26
Inês Monteiro,Colombia,Murad Retinol Youth Renewal Serum 40ml,2021-01-08,7069.26,62
Margarida Marques,India,Murad Brightening Booster 40ml,2024-11-28,5985.57,127
Francisco Fernandes,India,Kiehl's Calendula Serum-Infused Water Cream 30g,2022-08-12,8533.32,97
Francisco Mendes,Germany,La Roche-Posay Toleriane Double Repair Moisturiser 60ml,2020-07-04,1036.22,100
Gonçalo Ribeiro,Canada,First Aid Beauty FAB Skin Lab Resurfacing Liquid 10% AHA 56.7g,2020-09-15,663.99,10
Catarina Correia,Brazil,Kiehl's Ultra Facial Cream 40ml,2024-02-15,1047.21,96
Tiago Almeida,United Kingdom,Kiehl's Rare Earth Deep Pore Cleansing Masque 60ml,2023-05-24,13424.48,137
Martim Pinto,Chile,Drunk Elephant C-Firma Fresh Day Serum 40ml,2024-04-02,477.51,66
Matilde Cruz,Singapore,Sunday Riley Saturn Sulfur Acne Treatment Mask 15ml,2023-07-02,657.07,12
Pedro Ferreira,Mexico,CeraVe AM Facial Moisturising Lotion SPF25 100ml,2024-11-16,2465.87,73
Francisco Almeida,United States,Tatcha The Clarifying Clay Mask 30g,2023-03-03,2088.7,71
Beatriz Jesus,South Korea,Sunday Riley Auto Correct Brightening and Depuffing Eye Contour Cream 30g,2022-03-08,903.54,46
Catarina Correia,Colombia,Olay Regenerist Collagen Peptide24 Serum 250ml,2022-03-21,2006.87,18
Margarida Marques,United Kingdom,Skinceuticals Physical Fusion UV Defense SPF 50 200ml,2020-01-03,7954.66,131
Tomás Martins,Singapore,Clinique Smart Night Custom-Repair Moisturiser 60ml,2020-10-23,4424.84,60
Lucas Costa,Japan,Bioderma Atoderm Intensive Baume 40ml,2021-12-31,11718.76,117
Ana Nunes,Japan,Bioderma Atoderm Intensive Baume 150ml,2024-01-30,36133.75,305
Martim Cardoso,Netherlands,Paula's Choice DEFENSE Antioxidant Pore Purifier 30g,2023-04-25,15237.84,138
Diogo Oliveira,Argentina,Skinceuticals Physical Fusion UV Defense SPF 50 50ml,2020-08-05,6335.36,60
Martim Ferreira,United States,Murad Cellular Hydration Barrier Repair Cream 250ml,2023-08-28,1206.13,142
Sofia Carvalho,Germany,First Aid Beauty Ultra Repair Firming Collagen Cream 40ml,2021-03-04,7421.83,87
Francisco Mendes,Indonesia,Pixi Retinol Tonic 20ml,2024-02-01,3990.68,68
Tiago Cardoso,France,Murad Vita-C Glycolic Brightening Serum 30ml,2024-12-12,1128.42,15
Mariana Soares,China,Tatcha The Water Cream 100ml,2024-03-29,564.03,25
Francisco Jesus,Spain,Pixi Glow Tonic 200ml,2021-04-12,403.23,78
Laura Mendes,United States,Avène Cleanance Expert Emulsion 20ml,2024-05-05,6645.84,91
Afonso Rocha,Brazil,The Ordinary Buffet Multi-Technology Peptide Serum 150ml,2022-04-01,15169.26,148
Carolina Marques,Poland,Tatcha The Indigo Overnight Repair Treatment 200ml,2024-09-25,7413.63,141
Tiago Carvalho,Netherlands,First Aid Beauty KP Bump Eraser Body Scrub 40ml,2024-06-09,5815.59,58
Pedro Santos,Mexico,Estée Lauder Resilience Lift Firming & Sculpting Eye Cream 340g,2021-06-23,4912.45,73
Matilde Moreira,Singapore,The Ordinary Hyaluronic Acid 2% + B5 200ml,2022-05-05,5851.25,58
Lucas Costa,Mexico,Clinique Dramatically Different Moisturising Lotion+ 150ml,2022-02-05,15609.15,177
Guilherme Costa,Philippines,Paula's Choice SKIN PERFECTING 2% BHA Liquid Exfoliant 50ml,2021-10-14,8277.63,91
Laura Ribeiro,Japan,Kiehl's Ultra Facial Cream 340g,2022-08-31,8562.6,100
Afonso Rocha,Singapore,Sunday Riley Saturn Sulfur Acne Treatment Mask 150ml,2022-06-18,2087.03,37
Martim Rodrigues,South Korea,Kiehl's Rare Earth Deep Pore Cleansing Masque 30g,2020-04-15,9814.42,249
Afonso Pereira,France,Avène XeraCalm A.D Lipid-Replenishing Cream 100ml,2024-11-02,532.9,49
Lucas Coelho,Brazil,CeraVe Healing Ointment 30g,2022-03-10,3522.58,191
Inês Martins,Sweden,Bioderma Sensibio H2O Micellar Water 125ml,2024-08-07,5289.1,55
Maria Ferreira,Indonesia,Avène Eau Thermale Spray 100ml,2024-05-20,7218.52,129
Afonso Martins,South Korea,Paula's Choice CALM Redness Relief Moisturizer SPF 30 75ml,2020-03-01,1601.05,115
Guilherme Neves,Japan,The Ordinary AHA 30% + BHA 2% Peeling Solution 200ml,2023-02-22,5481.18,65
Mariana Soares,Mexico,Neutrogena Rapid Wrinkle Repair Retinol Cream 75ml,2020-01-21,10716.96,108
Dinis Carvalho,Canada,First Aid Beauty Hello FAB Coconut Skin Smoothie Priming Moisturizer 150ml,2022-01-22,3468.81,317
Carolina Silva,Poland,Avène Antirougeurs Jour Redness Relief Cream 150ml,2024-06-09,5369.15,53
Lucas Costa,Italy,Pixi Vitamin-C Juice Cleanser 75ml,2024-03-16,1907.28,129
Laura Fernandes,Singapore,Murad AHA/BHA Exfoliating Cleanser 56.7g,2024-06-01,160.52,24
Pedro Sousa,Mexico,Neutrogena Ultra Sheer Dry-Touch Sunscreen SPF 50+ 40ml,2024-10-02,42211.82,362
Margarida Teixeira,Mexico,Avène PhysioLift Night Smoothing Balm 15ml,2021-11-12,6391.74,226
Rafael Vieira,Canada,Bioderma Sebium Pore Refiner 40ml,2022-01-23,10103.44,124
Leonor Rodrigues,Spain,CeraVe Hydrating Cleanser 30g,2022-03-24,2813.82,48
Carolina Vieira,Brazil,Clinique Smart Night Custom-Repair Moisturiser 200ml,2020-05-29,15700.28,505
Lucas Ribeiro,Sweden,Neutrogena Hydro Boost Water Gel 75ml,2020-07-07,1284.71,107
Sofia Martins,India,COSRX Ultimate Moisturizing Honey Overnight Mask 30ml,2020-07-23,585.89,30
Lucas Ribeiro,China,Murad Retinol Youth Renewal Serum 150ml,2023-04-10,6554.87,112
Sara Ferreira,Chile,Kiehl's Calendula Serum-Infused Water Cream 150ml,2024-12-18,1147.02,36
Pedro Santos,Spain,Neutrogena Rapid Wrinkle Repair Retinol Cream 100ml,2023-02-11,6235.7,73
Ana Teixeira,Japan,Drunk Elephant A-Passioni Retinol Cream 200ml,2021-02-26,16048.16,189
Mariana Soares,Brazil,Olay Total Effects 7-in-1 Moisturiser 100ml,2022-09-27,3848.62,74
Gonçalo Ferreira,Poland,Skinceuticals Discoloration Defense Serum 30ml,2021-01-04,1444.06,101
Dinis Monteiro,Spain,Estée Lauder DayWear Multi-Protection Anti-Oxidant 24H Moisturizer SPF15 250ml,2023-01-29,4286.46,73
Rafael Pereira,Brazil,Kiehl's Ultra Facial Cream 20ml,2024-08-18,6306.85,75
Miguel Ferreira,India,Kiehl's Creamy Eye Treatment with Avocado 50ml,2024-01-04,12831.64,304
Guilherme Neves,Poland,The Ordinary Salicylic Acid 2% Solution 340g,2023-11-28,2024.62,71
Sofia Jesus,Sweden,REN Clean Skincare Clean Screen Mineral SPF30 30g,2020-10-23,7815.58,194
Matilde Moreira,Spain,CeraVe PM Facial Moisturising Lotion 60ml,2022-07-17,1938.78,181
Joana Costa,Canada,Paula's Choice BOOST 10% Niacinamide Booster 15ml,2022-11-27,27884.67,283
João Mendes,Spain,Bioderma Atoderm Intensive Baume 50ml,2020-11-18,2046.72,54
Mariana Soares,South Korea,Estée Lauder Perfectly Clean Multi-Action Foam Cleanser 100ml,2024-06-01,4828.42,266
Sofia Rodrigues,Colombia,First Aid Beauty KP Bump Eraser Body Scrub 250ml,2022-08-28,8229.68,263
Lucas Rodrigues,Argentina,Sunday Riley Auto Correct Brightening and Depuffing Eye Contour Cream 20ml,2020-08-24,18987.77,180
Guilherme Costa,Thailand,Tatcha The Indigo Overnight Repair Treatment 250ml,2022-11-05,3280.12,114
Margarida Marques,Argentina,CeraVe AM Facial Moisturising Lotion SPF25 40ml,2024-07-16,1204.22,74
Inês Martins,Philippines,REN Clean Skincare Ready Steady Glow Daily AHA Tonic 50ml,2024-05-02,6063.16,53
Sara Ferreira,United States,Avène PhysioLift Night Smoothing Balm 125ml,2024-09-19,9823.83,327
Clara Cardoso,Spain,Kiehl's Ultra Facial Cream 30g,2020-07-24,5839.31,54
Margarida Marques,Singapore,REN Clean Skincare Radiance Perfection Serum 100ml,2021-05-18,444.99,43
Afonso Martins,China,Olay Vitamin C + Peptide 24 Face Moisturizer 56.7g,2024-02-18,455.14,53
Catarina Martins,Singapore,La Roche-Posay Effaclar Mat Moisturiser 40ml,2023-09-16,972.13,82
Carolina Ferreira,Indonesia,First Aid Beauty Hello FAB Coconut Skin Smoothie Priming Moisturizer 30g,2023-10-01,9385.9,95
Catarina Monteiro,Spain,The Ordinary Natural Moisturising Factors + HA 75ml,2024-01-01,7377.03,91
Joana Santos,Canada,Pixi Overnight Glow Serum 30ml,2021-05-19,17205.35,148
Martim Marques,United States,Drunk Elephant A-Passioni Retinol Cream 20ml,2023-03-02,119.08,39
Rafael Pereira,India,Clinique Smart Night Custom-Repair Moisturiser 125ml,2021-04-27,11962.23,109
Afonso Vieira,Spain,Paula's Choice EARTH SOURCED Antioxidant-Enriched Natural Moisturizer 50ml,2022-02-09,10924.72,102
Afonso Neves,India,CeraVe AM Facial Moisturising Lotion SPF25 200ml,2024-02-23,2692.61,47
Rafael Gomes,France,Kiehl's Ultra Facial Cream 15ml,2024-07-19,1127.05,55
João Mendes,Argentina,The Ordinary AHA 30% + BHA 2% Peeling Solution 125ml,2024-08-06,4432.21,89
Guilherme Costa,Philippines,Drunk Elephant F-Balm Electrolyte Waterbalm 60ml,2020-01-24,2585.54,86
Mariana Soares,Spain,Drunk Elephant A-Passioni Retinol Cream 15ml,2020-05-03,12577.59,139
Pedro Santos,Brazil,Skinceuticals Triple Lipid Restore 2:4:2 340g,2022-11-19,10623.47,134
Clara Monteiro,Argentina,Sunday Riley Good Genes All-In-One Lactic Acid Treatment 75ml,2020-10-31,13352.65,451
Mariana Soares,Argentina,COSRX Advanced Snail 92 All in One Cream 340g,2022-01-27,11942.72,138
Inês Cardoso,Thailand,Skinceuticals Metacell Renewal B3 15ml,2024-10-04,2262.09,135
Pedro Ferreira,United States,Neutrogena Bright Boost Gel Cream 56.7g,2023-06-18,29450.37,287
Joana Santos,China,Murad Retinol Youth Renewal Serum 56.7g,2020-01-31,14522.95,142
Catarina Monteiro,Thailand,Estée Lauder Re-Nutriv Ultimate Lift Age-Correcting Crème 75ml,2023-10-29,5393.2,150
Lucas Santos,Sweden,REN Clean Skincare Clean Screen Mineral SPF30 250ml,2022-08-26,31933.19,354
Gonçalo Fernandes,France,Pixi Overnight Glow Serum 30ml,2021-02-17,10465.93,147
Sara Ferreira,Poland,CeraVe Healing Ointment 250ml,2020-05-04,20431.78,213
Afonso Rocha,Spain,Kiehl's Midnight Recovery Concentrate 60ml,2022-04-22,2637.9,59
Diogo Neves,Singapore,Neutrogena Cellular Boost Concentrate Serum 60ml,2023-02-25,9298.08,113
Rafael Pereira,United Kingdom,Tatcha The Essence Plump Skin Softener 340g,2024-12-19,5531.72,128
Rafael Martins,Canada,REN Clean Skincare Vita Mineral Active 7 Eye Gel 75ml,2023-11-21,8405.8,230
Afonso Jesus,Chile,Sunday Riley Auto Correct Brightening and Depuffing Eye Contour Cream 56.7g,2023-06-04,23338.56,307
Tiago Carvalho,India,Clinique Repairwear Laser Focus Eye Cream 30g,2023-03-01,5003.46,136
Rafael Mendes,Sweden,Clinique Moisture Surge 100H Auto-Replenishing Hydrator 340g,2021-09-09,657.36,69
Margarida Marques,Spain,Olay Regenerist Micro-Sculpting Cream 15ml,2024-10-21,2669.18,45
Clara Cardoso,Brazil,Avène Cleanance Expert Emulsion 20ml,2022-07-29,2247.52,130
Rodrigo Jesus,United Kingdom,Estée Lauder Revitalizing Supreme+ Moisturizer 125ml,2024-12-23,2454.02,43
Laura Costa,Colombia,The Ordinary Niacinamide 10% + Zinc 1% 200ml,2022-09-28,245.6,66
Joana Fernandes,Thailand,COSRX Full Fit Propolis Light Cream 30ml,2024-11-26,15629.1,217
Sara Cruz,China,Skinceuticals Physical Fusion UV Defense SPF 50 20ml,2024-03-19,503.63,40
Tomás Ribeiro,France,La Roche-Posay Effaclar Mat Moisturiser 56.7g,2020-11-14,271.95,92
Catarina Jesus,Indonesia,Estée Lauder Nutritious Super-Pomegranate Radiant Energy Eye Jelly 250ml,2020-05-10,32422.75,301
Leonor Jesus,Canada,Clinique All About Eyes Rich 56.7g,2023-04-07,2352.91,313
Guilherme Costa,Canada,Clinique All About Eyes Rich 100ml,2022-06-13,3158.89,140
Tomás Rodrigues,United States,Drunk Elephant Protini Polypeptide Cream 200ml,2022-12-04,5429.85,66
Maria Ferreira,Thailand,The Ordinary Hyaluronic Acid 2% + B5 15ml,2023-12-07,11207.12,105
Pedro Cruz,Thailand,The Ordinary Retinol 0.5% in Squalane 30g,2020-05-04,3731.13,59
Diogo Ribeiro,Italy,Sunday Riley UFO Ultra-Clarifying Face Oil 60ml,2023-08-25,11206.68,110
Martim Silva,Argentina,The Ordinary Hyaluronic Acid 2% + B5 250ml,2023-03-18,5935.16,78
Carolina Jesus,India,Sunday Riley Auto Correct Brightening and Depuffing Eye Contour Cream 60ml,2020-09-24,28785.07,254
Sofia Carvalho,Italy,Neutrogena Oil-Free Acne Wash 15ml,2024-12-04,17115.84,149
Guilherme Costa,Germany,Skinceuticals Metacell Renewal B3 50ml,2021-12-15,9440.38,136
Afonso Monteiro,China,First Aid Beauty Ultra Repair Firming Collagen Cream 60ml,2024-03-20,2967.03,34
Rafael Neves,Italy,Neutrogena Bright Boost Gel Cream 150ml,2021-03-31,28741.94,298
Rodrigo Teixeira,Germany,Kiehl's Super Multi-Corrective Anti-Aging Face & Neck Cream 340g,2022-11-24,1553.19,74
Mariana Teixeira,Sweden,Drunk Elephant T.L.C. Framboos Glycolic Night Serum 15ml,2020-12-18,9445.03,120
João Martins,Chile,Avène Antirougeurs Jour Redness Relief Cream 200ml,2020-06-19,13005.96,157
Carolina Jesus,Indonesia,CeraVe Moisturising Cream 56.7g,2021-06-20,19455.52,314
Diogo Monteiro,Thailand,Pixi Retinol Tonic 75ml,2023-07-14,2517.07,87
Afonso Rocha,Spain,Neutrogena Cellular Boost Concentrate Serum 30g,2024-11-10,1355.13,74
Mariana Cruz,Poland,Sunday Riley Ice Ceramide Moisturizing Cream 150ml,2023-01-26,15013.33,150
Lucas Costa,Argentina,Murad AHA/BHA Exfoliating Cleanser 125ml,2022-03-09,8416.01,79
Ana Monteiro,Indonesia,Neutrogena Oil-Free Acne Wash 15ml,2024-06-25,9293.71,124
Ana Ferreira,Chile,Clinique Moisture Surge 100H Auto-Replenishing Hydrator 20ml,2024-01-11,13365.86,132
Carolina Silva,Colombia,Murad Brightening Booster 50ml,2024-02-08,4519.64,98
Catarina Neves,France,Paula's Choice SKIN PERFECTING 2% BHA Liquid Exfoliant 250ml,2020-02-08,9488.61,128
Laura Costa,Singapore,Paula's Choice BOOST 10% Niacinamide Booster 75ml,2023-02-23,2357.97,24
Francisco Fernandes,Japan,La Roche-Posay Lipikar Balm AP+ 200ml,2024-03-19,12367.39,150
Dinis Pereira,Poland,La Roche-Posay Effaclar Mat Moisturiser 15ml,2024-03-31,6599.27,138
João Neves,Singapore,COSRX AHA/BHA Clarifying Treatment Toner 200ml,2023-02-01,11555.0,125
Matilde Moreira,South Korea,Neutrogena Norwegian Formula Face Cream 30ml,2023-08-03,332.38,18
Leonor Rodrigues,United States,Bioderma Sensibio H2O Micellar Water 125ml,2023-03-02,3565.13,131
Rafael Martins,Mexico,Drunk Elephant F-Balm Electrolyte Waterbalm 20ml,2023-11-17,10777.27,123
Carolina Vieira,Chile,The Ordinary Hyaluronic Acid 2% + B5 125ml,2024-05-07,6838.43,70
Tiago Jesus,Japan,COSRX Advanced Snail 96 Mucin Power Essence 56.7g,2024-01-01,2130.0,148
Inês Cruz,Singapore,Murad Oil-Control Mattifier SPF45 20ml,2020-12-16,2166.75,73
Beatriz Ferreira,Chile,Neutrogena Oil-Free Acne Wash 340g,2022-05-13,2015.88,33
Carolina Ferreira,Mexico,Paula's Choice EARTH SOURCED Antioxidant-Enriched Natural Moisturizer 340g,2023-03-30,50.01,16
Rodrigo Teixeira,Thailand,Skinceuticals Physical Fusion UV Defense SPF 50 30ml,2024-07-11,1282.95,12
Joana Santos,Colombia,La Roche-Posay Toleriane Double Repair Moisturiser 20ml,2023-12-09,4530.84,238
Rodrigo Cruz,South Korea,La Roche-Posay Toleriane Double Repair Moisturiser 60ml,2021-02-01,610.55,80
Afonso Vieira,Mexico,Avène Hydrance Rich Rehydrating Cream 30g,2024-03-01,6213.48,198
